imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
9911707,257987000,KV HOPEN,35,68,68,6.0,Military ops,NaN
9660097,256617000,PANEMORFI           ,70,178,22,6.9,Cargo,All ships of this type
9016674,311000972,BALTIC PERFORMER,70,117,33,8.6,Cargo,All ships of this type
9313187,211411980,ZENIT,90,18,12,2.1,Other Type,All ships of this type
9823807,244849000,KRAKESANDT          ,33,13,93,7.2,Dredging or underwater ops,NaN
9662526,257372000,OESTERBRIS          ,30,45,30,8.0,Fishing,NaN
1056109,244491000,SOUTHPAW            ,52,14,12,0.0,Tug,NaN
9676137,311000340,EAGLE BERGEN        ,80,221,55,14.4,Tanker,All ships of this type
9886847,228433900,SANTONA,69,27,188,6.0,Passenger,No additional information
9195767,636023222,RIX DELTA,79,80,9,5.5,Cargo,No additional information
2332991,253000076,CARITAS,80,98,12,2.9,Tanker,All ships of this type
9802308,477150800,GOODWYN ISLAND      ,70,177,23,11.9,Cargo,All ships of this type
9730373,538006700,SAN JACINTO         ,80,230,44,9.0,Tanker,All ships of this type
9479967,259074000,HAVILA CLIPPER      ,90,21,59,5.8,Other Type,All ships of this type
9847255,232018240,JANNETJE CORNELIS,30,18,10,5.5,Fishing,NaN
9599731,246749000,UK153 LUB SENIOR    ,30,10,16,5.0,Fishing,NaN
9880142,244810000,SCH-144 VERTROUWEN,30,8,16,0.0,Fishing,NaN
9399806,563169400,WINDSWEPT,79,273,463,9.5,Cargo,No additional information
9981245,256959000,TINA-M              ,80,76,23,6.5,Tanker,All ships of this type
9409625,305813000,WILSON DIEPPE       ,70,44,44,5.8,Cargo,All ships of this type
9407976,255915980,STEN FRIGG          ,80,112,32,6.5,Tanker,All ships of this type
9428085,266420000,SOLERO              ,80,121,29,9.5,Tanker,All ships of this type
9246918,209223000,AMETHYST            ,89,74,19,5.5,Tanker,No additional information
4601759,244173000,HNLMS KAREL DOORMAN ,35,30,160,7.8,Military ops,NaN
9730505,232054319,WIND EVOLUTION      ,90,26,54,5.5,Other Type,All ships of this type
9893632,259141000,SUNNY LADY          ,30,58,28,8.0,Fishing,NaN
